,fiscalDateEnding,ticker,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,nonOperatingItems,netInterest
299,2019-03-31,GOOG,6608000000,8181000000,8146000000,1489000000,6657000000,2920000000.0,487000000.0
300,2019-06-30,GOOG,9180000000,12172000000,12147000000,2200000000,9947000000,3595000000.0,628000000.0
301,2019-09-30,GOOG,9177000000,8651000000,8628000000,1560000000,7068000000,59000000.0,608000000.0
302,2019-12-31,GOOG,9266000000,10721000000,10704000000,33000000,10671000000,2042000000.0,604000000.0
303,2020-03-31,GOOG,7977000000,7778000000,7757000000,921000000,6836000000,345000000.0,565000000.0
304,2020-06-30,GOOG,6383000000,8290000000,8277000000,1318000000,6959000000,2314000000.0,420000000.0
305,2020-09-30,GOOG,11213000000,13407000000,13359000000,2112000000,11247000000,2558000000.0,412000000.0
306,2020-12-31,GOOG,15651000000,18742000000,18689000000,3462000000,15227000000,3371000000.0,333000000.0
307,2021-03-31,GOOG,16437000000,21359000000,21283000000,3353000000,17930000000,5115000000.0,269000000.0
308,2021-06-30,GOOG,19361000000,22061000000,21985000000,3460000000,18525000000,2937000000.0,313000000.0
309,2021-09-30,GOOG,21031000000,23141000000,23064000000,4128000000,18936000000,2343000000.0,310000000.0
310,2021-12-31,GOOG,21885000000,24519000000,24402000000,3760000000,20642000000,2778000000.0,261000000.0
311,2022-03-31,GOOG,20094000000,19017000000,18934000000,2498000000,16436000000,-829000000.0,331000000.0
312,2022-06-30,GOOG,19453000000,19097000000,19014000000,3012000000,16002000000,-36000000.0,403000000.0
313,2022-09-30,GOOG,17135000000,16334000000,16233000000,2323000000,13910000000,-388000000.0,514000000.0
314,2022-12-31,GOOG,18160000000,17237000000,17147000000,3523000000,13624000000,-444000000.0,569000000.0
315,2023-03-31,GOOG,17415000000,18285000000,18205000000,3154000000,15051000000,1507000000.0,717000000.0
316,2023-06-30,GOOG,21838000000,21946000000,21903000000,3535000000,18368000000,914000000.0,849000000.0
317,2023-09-30,GOOG,21343000000,21343000000,21197000000,1508000000,19689000000,950000000.0,950000000.0
318,2023-12-31,GOOG,23697000000,23697000000,24412000000,3725000000,20687000000,1041000000.0,1041000000.0
319,2024-03-31,GOOG,25472000000,25472000000,28315000000,4653000000,23662000000,967000000.0,967000000.0
320,2024-06-30,GOOG,27425000000,27618000000,27551000000,3932000000,23619000000,1023000000.0,1023000000.0
321,2024-09-30,GOOG,28521000000,31760000000,31706000000,5405000000,26301000000,1189000000.0,1189000000.0
322,2024-12-31,GOOG,30972000000,32296000000,32243000000,5707000000,26536000000,1035000000.0,1035000000.0
323,2025-03-31,GOOG,30606000000,41823000000,41789000000,7249000000,34540000000,967000000.0,967000000.0
324,2005-03-31,GOOGL,442770000,442770000,456456000,87263000,369193000,-12000000.0,-12000000.0
325,2005-06-30,GOOGL,475698000,475698000,495420000,152606000,342814000,-16000000.0,-16000000.0
